date,gross_return,net_return,cost,turnover,long_return,short_return,gross_exposure,net_exposure,long_names,short_names,benchmark_return
2010-04-28,0,0,0,0,0,0,0,0,0,0,0.007596649002
2010-04-29,0,0,0,0,0,0,0,0,0,0,0.01239679465
2010-04-30,0,0,0,0,0,0,0,0,0,0,-0.0169618996
2010-05-03,0,0,0,0,0,0,0,0,0,0,0.01296211462
2010-05-04,0,0,0,0,0,0,0,0,0,0,-0.02351476092
2010-05-05,0,0,0,0,0,0,0,0,0,0,-0.005956472253
2010-05-06,0,0,0,0,0,0,0,0,0,0,-0.03321356441
2010-05-07,0,0,0,0,0,0,0,0,0,0,-0.01487494834
2010-05-10,0,0,0,0,0,0,0,0,0,0,0.04404108854
2010-05-11,0,0,0,0,0,0,0,0,0,0,-0.002841142648
2010-05-12,0,0,0,0,0,0,0,0,0,0,0.01398601644
2010-05-13,0,0,0,0,0,0,0,0,0,0,-0.01243078526
2010-05-14,0,0,0,0,0,0,0,0,0,0,-0.01810504078
2010-05-17,0,0,0,0,0,0,0,0,0,0,0.0005266156333
2010-05-18,0,0,0,0,0,0,0,0,0,0,-0.0136021546
2010-05-19,0,0,0,0,0,0,0,0,0,0,-0.005694111607
2010-05-20,0,0,0,0,0,0,0,0,0,0,-0.03775914926
2010-05-21,0,0,0,0,0,0,0,0,0,0,0.01459913305
2010-05-24,0,0,0,0,0,0,0,0,0,0,-0.01283126375
2010-05-25,0,0,0,0,0,0,0,0,0,0,0.001021313455
2010-05-26,0,0,0,0,0,0,0,0,0,0,-0.006028619157
2010-05-27,0,0,0,0,0,0,0,0,0,0,0.03349811152
2010-05-28,0,0,0,0,0,0,0,0,0,0,-0.0125495779
2010-06-01,0,0,0,0,0,0,0,0,0,0,-0.01682363883
2010-06-02,0,0,0,0,0,0,0,0,0,0,0.0260395117
2010-06-03,0,0,0,0,0,0,0,0,0,0,0.003443710027
2010-06-04,0,0,0,0,0,0,0,0,0,0,-0.03513672482
2010-06-07,0,0,0,0,0,0,0,0,0,0,-0.01245051632
2010-06-08,0,0,0,0,0,0,0,0,0,0,0.01071161476
2010-06-09,0,0,0,0,0,0,0,0,0,0,-0.00534573998
2010-06-10,0,0,0,0,0,0,0,0,0,0,0.0292313095
2010-06-11,0,0,0,0,0,0,0,0,0,0,0.004855444314
2010-06-14,0,0,0,0,0,0,0,0,0,0,-0.001549891813
2010-06-15,0,0,0,0,0,0,0,0,0,0,0.02273808879
2010-06-16,0,0,0,0,0,0,0,0,0,0,-0.0003573346923
2010-06-17,0,0,0,0,0,0,0,0,0,0,0.001607717042
2010-06-18,0,0,0,0,0,0,0,0,0,0,0.001084284189
2010-06-21,0,0,0,0,0,0,0,0,0,0,-0.002864078564
2010-06-22,0,0,0,0,0,0,0,0,0,0,-0.01651559499
2010-06-23,0,0,0,0,0,0,0,0,0,0,-0.003103275534
2010-06-24,0,0,0,0,0,0,0,0,0,0,-0.01657053675
2010-06-25,0,0,0,0,0,0,0,0,0,0,0.004189043005
2010-06-28,0,0,0,0,0,0,0,0,0,0,-0.003151619767
2010-06-29,0,0,0,0,0,0,0,0,0,0,-0.03087498537
2010-06-30,0,0,0,0,0,0,0,0,0,0,-0.009500373282
2010-07-01,0,0,0,0,0,0,0,0,0,0,-0.004456286864
2010-07-02,0,0,0,0,0,0,0,0,0,0,-0.005449675916
2010-07-06,0,0,0,0,0,0,0,0,0,0,0.006555675303
2010-07-07,0,0,0,0,0,0,0,0,0,0,0.03149566433
2010-07-08,0,0,0,0,0,0,0,0,0,0,0.009895777679
2010-07-09,0,0,0,0,0,0,0,0,0,0,0.007465508475
2010-07-12,0,0,0,0,0,0,0,0,0,0,0.000648269406
2010-07-13,0,0,0,0,0,0,0,0,0,0,0.01508859789
2010-07-14,0,0,0,0,0,0,0,0,0,0,-9.120062715e-05
2010-07-15,0,0,0,0,0,0,0,0,0,0,0.0002734420158
2010-07-16,0,0,0,0,0,0,0,0,0,0,-0.02753480005
2010-07-19,0,0,0,0,0,0,0,0,0,0,0.005906202624
2010-07-20,0,0,0,0,0,0,0,0,0,0,0.01109195806
2010-07-21,0,0,0,0,0,0,0,0,0,0,-0.01299758132
2010-07-22,0,0,0,0,0,0,0,0,0,0,0.02232175304
2010-07-23,0,0,0,0,0,0,0,0,0,0,0.008679243012
2010-07-26,0,0,0,0,0,0,0,0,0,0,0.0104154497
2010-07-27,0,0,0,0,0,0,0,0,0,0,-8.946572432e-05
2010-07-28,0,0,0,0,0,0,0,0,0,0,-0.006454916413
2010-07-29,0,0,0,0,0,0,0,0,0,0,-0.004872114091
2010-07-30,0,0,0,0,0,0,0,0,0,0,-0.0001813593628
2010-08-02,0,-0.001,0.001,1,0,0,0,0,0,0,0.02258122289
2010-08-03,-0.002982351907,-0.002982351907,0,0,-0.001240619943,-0.001741731965,1,0,7,7,-0.004789259894
2010-08-04,0.001138152856,0.001138152856,0,0,0.008992976561,-0.007854823705,1.003493884,-0.002991272936,7,7,0.006683288582
2010-08-05,0.003075635129,0.003075635129,0,0,0.002695570894,0.0003800642343,1.0191817,-0.001851013343,7,7,-0.001062341813
2010-08-06,0.006567362204,0.006567362204,0,0,0.00508661272,0.001480749484,1.018365087,0.001220866844,7,7,-0.004076192118
2010-08-09,-0.0007764333809,-0.0007764333809,0,0,0.003522917269,-0.00429935065,1.015303087,0.007737414643,7,7,0.005338670411
2010-08-10,0.005847219444,0.005847219444,0,0,0.0004554011766,0.005391818267,1.023920361,0.0069663902,7,7,-0.005398474459
2010-08-11,-0.0007789766574,-0.0007789766574,0,0,-0.01644831441,0.01566933775,1.013060358,0.01273912121,7,7,-0.02740703272
2010-08-12,0.00466710727,0.00466710727,0,0,0.003665019599,0.001002087671,0.9817074325,0.01196946849,7,7,-0.006130104241
